Column1,State,City,Latitude,Longitude,Name,Interest,Google review rating,Entrance Fee in INR
22,Maharastra,Mumbai,18.9246447,72.8321315,Shopping at Colaba Causeway,Shopping & Markets,4.2,0
23,Maharastra,Mumbai,19.0642357,72.8349124,"Shopping at Linking road, Bandra",Shopping & Markets,4.2,0
24,Maharastra,Mumbai,19.0863795,72.8889774,"Phoenix marketcity Mall, Kurla",Shopping & Markets,4.5,0
25,Maharastra,Mumbai,19.0543152,72.8515712,"Jio world drive mall, BKC","Arts, Science & Literature Attractions",4.6,0
26,Maharastra,Mumbai,,,"Kitaab Khaana bookstore, Fort",Natural Landscapes & Wildlife,4.5,0
27,Maharastra,Mumbai,19.019747,72.854312,"Five gardens, Matunga",Sightseeing & Exploration,4.1,0
28,Maharastra,Mumbai,19.0091432,72.8157283,Worli seaface,Religious & Spiritual Pilgrimages,4.5,0
29,Maharastra,Mumbai,19.01699,72.8303997,Siddhivinayak Temple,Religious & Spiritual Pilgrimages,4.8,0
30,Maharastra,Mumbai,,,Mahalaxmi Temple,Religious & Spiritual Pilgrimages,4.7,0
31,Maharastra,Mumbai,18.9828273,72.8088966,Haji Ali Dargah,Religious & Spiritual Pilgrimages,4.4,0
32,Maharastra,Mumbai,18.9518622,72.8165592,Chowpatty Beach,Natural Landscapes & Wildlife,4.3,0
33,Maharastra,Mumbai,19.230098,72.8013252,Essel World,Adventure & Outdoor Activities,4.3,1149
34,Maharastra,Mumbai,18.9633474,72.9314864,Elephanta Caves,Cultural & Heritage Sites,4.3,550
35,Maharastra,Lonavala,,,Tiger’s Leap cliff top,Sightseeing & Exploration,4.4,0
36,Maharastra,Lonavala,18.7323921,73.3678196,Duke's nose trail,Adventure & Outdoor Activities,4.3,0
37,Maharastra,Lonavala,18.7679396,73.2823206,Adlabs Imagica,Adventure & Outdoor Activities,4,1149
38,Maharastra,Lonavala,18.7224264,73.3962885,Bhushi dam,Natural Landscapes & Wildlife,4,0
39,Maharastra,Lonavala,18.608297,73.3864648,Sunset at Lion's point,Sightseeing & Exploration,4,0
40,Karnataka,Bangalore,18.699917,73.3859496,Bangalore Palace,Cultural & Heritage Sites,4.2,500
41,Karnataka,Bangalore,13.0035068,77.5890953,Lalbagh Botanical Garden,Natural Landscapes & Wildlife,4.4,20
42,Karnataka,Bangalore,12.9494158,77.5846805,Cubbon Park,Natural Landscapes & Wildlife,4.4,0
43,Karnataka,Bangalore,12.9779291,77.5951549,Nehru Planetarium,"Arts, Science & Literature Attractions",4,35
44,Karnataka,Bangalore,,,National Gallery of Modern Art,Cultural & Heritage Sites,4.3,20
45,Karnataka,Bangalore,28.6101926,77.2344179,Church street,Sightseeing & Exploration,4.1,0
46,Karnataka,Bangalore,,,MG Road,Sightseeing & Exploration,4.2,0
47,Karnataka,Bangalore,12.9747587,77.6093926,Boating at Yediyur lake ,Adventure & Outdoor Activities,4.2,50
48,Karnataka,Bangalore,12.93349,77.5766285,Vidhana Soudha,Cultural & Heritage Sites,4.6,0
49,Karnataka,Bangalore,12.9796121,77.5908462,ISKCON Temple Bangalore,Religious & Spiritual Pilgrimages,4.6,0
50,Telangana,Hyderabad,13.0098328,77.5510964,Charminar,Cultural & Heritage Sites,4.5,25
51,Telangana,Hyderabad,17.3615636,78.4746645,Golconda Fort,Cultural & Heritage Sites,4.4,30
52,Telangana,Hyderabad,17.383309,78.4010528,Hussain Sagar Lake,Natural Landscapes & Wildlife,4.3,0
53,Telangana,Hyderabad,17.4238798,78.4738215,Ramoji Film City,"Arts, Science & Literature Attractions",4.4,1150
54,Telangana,Hyderabad,,,Salar Jung Museum,"Arts, Science & Literature Attractions",4.4,20
55,Telangana,Hyderabad,17.3716084,78.4802439,Qutb Shahi Tombs,Cultural & Heritage Sites,4.4,25
56,Telangana,Hyderabad,17.3973706,78.4001141,Lad Bazaar ,Shopping & Markets,4,0
57,Telangana,Hyderabad,17.3628791,78.4741288,Birla Mandir,Religious & Spiritual Pilgrimages,4.7,0
58,Telangana,Hyderabad,,,Chowmahalla Palace,Cultural & Heritage Sites,4.4,80
59,Telangana,Hyderabad,17.3578233,78.4716897,Nehru Zoological Park,Natural Landscapes & Wildlife,4.2,50
60,Telangana,Hyderabad,17.3483047,78.4425108,Infinite adventure club,Adventure & Outdoor Activities,4.4,1000
61,Telangana,Hyderabad,17.4458759,78.4186335,Lumbini Park,Natural Landscapes & Wildlife,4.1,20
62,West Bengal,Kolkata,17.4096811,78.4724344,Victoria Memorial,Cultural & Heritage Sites,4.6,30
63,West Bengal,Kolkata,22.5448082,88.3425578,Howrah Bridge,Cultural & Heritage Sites,4.6,0
64,West Bengal,Kolkata,22.5851433,88.3468005,Indian Museum,"Arts, Science & Literature Attractions",4.6,50
65,West Bengal,Kolkata,22.5578858,88.3511268,Ganga aarti,Religious & Spiritual Pilgrimages,4.6,0
66,West Bengal,Kolkata,27.40364009,83.00912405,Birla Planetarium,"Arts, Science & Literature Attractions",4.4,100
67,West Bengal,Kolkata,22.5455141,88.3473163,St.Pauls Cathedral,Religious & Spiritual Pilgrimages,4.2,0
68,West Bengal,Kolkata,51.5138453,-0.0983506,Tiretti Bazaar,Shopping & Markets,4.1,0
69,West Bengal,Kolkata,22.5739086,88.3555988,Princep Ghat,Cultural & Heritage Sites,4.3,0
70,West Bengal,Kolkata,22.5552828,88.3311699,Kumartali potter's quarter,"Arts, Science & Literature Attractions",4.4,0
71,West Bengal,Kolkata,22.6000017,88.3612679,Shopping at Chamba lama,Shopping & Markets,4.3,0
72,West Bengal,Kolkata,22.5599918,88.3531374,Burra Bazaar,Shopping & Markets,4,0
73,West Bengal,Kolkata,22.5817406,88.3543972,Dakshineswar Kali Temple,Religious & Spiritual Pilgrimages,4.7,0
74,West Bengal,Kolkata,22.6549087,88.3575307,Kalighat Kali Temple,Religious & Spiritual Pilgrimages,4.4,0
75,West Bengal,Kolkata,22.5202798,88.3420877,Eden Gardens,Sports & Recreation,4.1,2500
76,West Bengal,Kolkata,22.5646081,88.3432645,Alipore Zoological Gardens,Natural Landscapes & Wildlife,4.3,25
77,West Bengal,Kolkata,22.5370343,88.3316697,Science City Kolkata,"Arts, Science & Literature Attractions",4.4,60
78,West Bengal,Kolkata,22.5401381,88.3960564,Belur Math,Religious & Spiritual Pilgrimages,4.7,0
79,West Bengal,Kolkata,22.6326565,88.3563815,Marble Palace,Cultural & Heritage Sites,4.4,0
80,Goa,Goa,,,Basilica of Bom Jesus,Religious & Spiritual Pilgrimages,4.5,0
81,Goa,Goa,15.5008238,73.9114061,Fort Aguada,Cultural & Heritage Sites,4.2,0
82,Goa,Goa,15.4922519,73.7737462,Dudhsagar Falls,Natural Landscapes & Wildlife,4.6,500
83,Goa,Goa,15.3144375,74.3143073,Anjuna Beach,Adventure & Outdoor Activities,4.4,0
84,Goa,Goa,15.5733497,73.7409781,Chapora Fort,Cultural & Heritage Sites,4.2,0
85,Goa,Goa,15.6046375,73.7369631,Se Cathedral,Religious & Spiritual Pilgrimages,4.5,0
86,Goa,Goa,15.5038769,73.9121918,Baga Beach,Natural Landscapes & Wildlife,4.5,0
87,Goa,Goa,15.5552787,73.7517307,Candolim Beach,Natural Landscapes & Wildlife,4.4,0
88,Goa,Panjim,15.5179749,73.7626122,Fontainhas colony,Cultural & Heritage Sites,4.2,0
89,Goa,Panjim,15.4941033,73.8300775,Shopping at M.G.Road,Shopping & Markets,4.1,0
90,Goa,Panjim,12.9747587,77.6093926,Gallery Gitanjali,"Arts, Science & Literature Attractions",4.5,0
91,Goa,Panjim,,,Our Lady of Immaculate Conception Church,Religious & Spiritual Pilgrimages,4.4,0
92,Goa,Goa,,,Old Goa,Cultural & Heritage Sites,4.5,0
93,Goa,Goa,15.501984,73.9100068,Arambol Beach,Natural Landscapes & Wildlife,4.6,0
94,Goa,Goa,15.6846886,73.7032836,Palolem Beach,Natural Landscapes & Wildlife,4.6,0
95,Goa,Goa,15.0099648,74.0232186,Colva Beach,Natural Landscapes & Wildlife,4.3,0
96,Goa,Goa,15.2805316,73.9119945,Miramar Beach,Natural Landscapes & Wildlife,4.2,0
97,Goa,Goa,30.374367,-86.3585578,Dr. Salim Ali Bird Santuary,Natural Landscapes & Wildlife,3.9,10
98,Gujrat,Ahemdabad,10.1335031,76.6860267,Statue of Unity,Cultural & Heritage Sites,4.6,120
99,Gujrat,Ahemdabad,21.8380184,73.7190728,Jhulta Minara,Cultural & Heritage Sites,4.1,0
100,Gujrat,Ahemdabad,23.0236789,72.5998114,Auto World Vintage Car Museum,"Arts, Science & Literature Attractions",4.4,100
101,Gujarat,Ahmedabad,23.0572846,72.6872617,Sabarmati Ashram,Cultural & Heritage Sites,4.6,0
102,Gujrat,Dwarka,23.0358621,72.5701089,Dwarka Beach & Lighthouse,Natural Landscapes & Wildlife,4.6,0
103,Gujrat,Dwarka,22.2441975,68.9684562,Rukmini Devi Mandir,Religious & Spiritual Pilgrimages,4.6,0
104,Gujrat,Dwarka,22.2573143,68.9644191,Shri Nageshwar Jyotirling,Religious & Spiritual Pilgrimages,4.7,0
105,Gujarat,Dwarka,22.3359636,69.0870088,Dwarkadhish Temple,Religious & Spiritual Pilgrimages,4.7,0
106,Gujrat,Junagadh,22.2371082,68.9676255,Mahabat Maqbara Palace,Cultural & Heritage Sites,4.4,0
107,Gujrat,Junagadh,21.5275733,70.4599927,Uparkot Fort,Cultural & Heritage Sites,4.3,5
108,Gujrat,Junagadh,21.5247475,70.4700532,Sakkarbaug Zoological Park,Natural Landscapes & Wildlife,4.3,20
109,Gujarat,Junagadh,21.5418892,70.4646275,Gir National Park,Natural Landscapes & Wildlife,4.5,3500
110,Gujrat,Bhuj,21.0842848,70.7944414,Aina Mahal Palace,Cultural & Heritage Sites,4.2,20
111,Gujrat,Bhuj,23.2553595,69.6685614,Bhuj Mandir,Religious & Spiritual Pilgrimages,4.7,0
112,Gujrat,Bhuj,23.2419997,69.6669324,Chhatardi Bhuj,Cultural & Heritage Sites,4.4,0
113,Gujrat,Bhuj,23.2457731,69.6581727,Vande Mataram Memorial,Cultural & Heritage Sites,4.6,100
114,Gujarat,Bhuj,23.2187507,69.73645,White Desert,Natural Landscapes & Wildlife,4.6,0
115,Gujrat,Vadodara,,,Sayaji Baug Zoo,Natural Landscapes & Wildlife,4.4,20
116,Gujrat,Vadodara,22.3114569,73.191386,Inorbit Mall Vadodara,Shopping & Markets,4.5,0
117,Gujrat,Vadodara,22.3223271,73.1655842,Baroda Museum &Gallery,"Arts, Science & Literature Attractions",4.5,5
118,Gujrat,Vadodara,22.3117697,73.1887449,BAPS Shri Swaminarayan Mandir,Religious & Spiritual Pilgrimages,4.5,0
119,Gujrat,Vadodara,,,Mandvi Gate,Cultural & Heritage Sites,4.4,0
120,Gujarat,Vadodara,22.300138,73.2106478,Laxmi Vilas Palace,Cultural & Heritage Sites,4.4,200
121,Gujrat,Somnath,22.2935993,73.1919074,Somnath Beach,Religious & Spiritual Pilgrimages,4.5,0
122,Gujarat,Somnath,20.8841837,70.405855,Somnath Temple,Religious & Spiritual Pilgrimages,4.8,0
123,Gujrat,Gandhinagar,20.8879899,70.4012569,Adalaj Stepwell,Cultural & Heritage Sites,4.5,0
124,Gujrat,Gandhinagar,23.1667825,72.580464,Sarita Udyan,Sightseeing & Exploration,4.4,0
125,Gujrat,Gandhinagar,23.2031524,72.6589384,Swaminarayan Akshardham,Religious & Spiritual Pilgrimages,4.6,0
126,Gujarat,Gandhinagar,28.6126735,77.2772619,Dandi Kutir,"Arts, Science & Literature Attractions",4.5,0
127,Gujarat,Ahmedabad,23.2328758,72.6311938,Sabarmati Riverfront,Sightseeing & Exploration,4.6,0
128,Gujarat,Ahmedabad,23.0234539,72.5766408,Manek Chowk,Shopping & Markets,4.4,0
129,Gujarat,Ahmedabad,23.0231887,72.5879093,Kankaria Lake,Natural Landscapes & Wildlife,4.5,10
130,Gujarat,Ahmedabad,23.0062573,72.6025503,Science City,"Arts, Science & Literature Attractions",4.4,500
131,Rajasthan,Jaipur,23.0714235,72.5167854,Birla Mandir,Religious & Spiritual Pilgrimages,4.6,0
132,Rajasthan,Jaipur,,,Shree Khole Ki Hanuman Mandir,Religious & Spiritual Pilgrimages,4.8,0
133,Rajasthan,Jaipur,,,Cental Park,Natural Landscapes & Wildlife,4.6,0
134,Rajasthan,Jaipur,40.7825547,-73.9655834,Moti Dungri Ganesh Ji Temple,Religious & Spiritual Pilgrimages,4.8,0
135,Rajasthan,Jaipur,26.8946582,75.8167154,Jantar Mantar,"Arts, Science & Literature Attractions",4.5,0
136,Rajasthan,Jaipur,28.6270547,77.2166267,Amber Palace,Cultural & Heritage Sites,4.6,0
137,Rajasthan,Jaipur,26.9854865,75.8513454,Hawa Mahal,Cultural & Heritage Sites,4.4,50
138,Rajasthan,Udaipur ,26.9240458,75.8267144,Lake Pichola,Natural Landscapes & Wildlife,4.7,0
139,Rajasthan,Udaipur,24.572,73.679,Jagdish Temple,Religious & Spiritual Pilgrimages,4.7,0
140,Rajasthan,Udaipur,24.5796536,73.6836153,Ambrai Ghat,Sightseeing & Exploration,4.7,0
141,Rajasthan,Udaipur,24.5775547,73.6799021,Saheliyon ki Bari,Natural Landscapes & Wildlife,4.4,50
142,Rajasthan,Udaipur,24.6030064,73.6854901,Sajjangarh Monsoon Palace,Cultural & Heritage Sites,4.4,110
143,Rajasthan,Udaipur,24.5931853,73.6396056,Bagore ki Haveli,Cultural & Heritage Sites,4.5,30
144,Rajasthan,Udaipur,24.5800483,73.6822576,Karni Mata Temple,Religious & Spiritual Pilgrimages,4,0
145,Rajasthan,Udaipur,27.7909349,73.3408256,City Palace,Cultural & Heritage Sites,4.4,300
146,Rajasthan,Jaisalmer,,,Patwa Haweli,Cultural & Heritage Sites,4.3,40
147,Rajasthan,Jaisalmer,,,Longewala War memorial,Cultural & Heritage Sites,4.8,50
148,Rajasthan,Jaisalmer,27.5229395,70.1564799,Gadisar Lake,"Natural Landscapes & Wildlife, Sightseeing & Exploration",4.4,0
149,Rajasthan,Jaisalmer,26.9085788,70.9231001,Jaisalmer Fort,Cultural & Heritage Sites,4.4,50
150,Rajasthan,Ranthambore,26.9124555,70.9126093,Trinetra Ganesh Temple,Religious & Spiritual Pilgrimages,4.7,0
151,Rajasthan,Ranthambore,26.0174913,76.4532362,Ranthambore Fort,Cultural & Heritage Sites,4.5,0
152,Rajasthan,Ranthambore,26.0207552,76.4549695,Ranthambore National Park,"Natural Landscapes & Wildlife, Sightseeing & Exploration",4.6,500
153,Rajasthan,Ajmer,25.9775867,76.5532869,Adhai Din ka Jhopra,Cultural & Heritage Sites,4.4,50
154,Rajasthan,Ajmer,26.455216,74.6251458,Anasagar Lake,"Natural Landscapes & Wildlife, Sightseeing & Exploration",4.5,0
155,Rajasthan,Ajmer,26.4745925,74.6195474,Khwaja Gharib Nawaz Dargah ,Religious & Spiritual Pilgrimages,4.6,0
156,Rajasthan,Jodhpur,21.0105397,75.5520299,Jaswant Thada,Cultural & Heritage Sites,4.4,30
157,Rajasthan,Jodhpur,26.3040998,73.0253613,Umaid Bhawan Palace,Cultural & Heritage Sites,4.5,50
158,Rajasthan,Jodhpur,26.2810298,73.0473022,Mehrangarh Fort,Cultural & Heritage Sites,4.6,100
159,Rajasthan,Mount Abu,26.2978267,73.0180132,Nakki Lake,"Natural Landscapes & Wildlife, Sightseeing & Exploration",4.4,0
160,Rajasthan,Mount Abu,24.5945112,72.7062297,Sunset Point,"Natural Landscapes & Wildlife, Sightseeing & Exploration",0.4,0
161,Rajasthan,Mount Abu,53.6889223,-114.348211,Dilwara Temples,"Religious & Spiritual Pilgrimages, Cultural & Heritage Sites",4.6,0
162,Rajasthan,Jaipur,24.609382,72.7229797,Nahargarh Fort,Cultural & Heritage Sites,4.6,100
163,Rajasthan,Jaipur,26.9401659,75.8170373,Jaigarh Fort,Cultural & Heritage Sites,4.5,35
164,Rajasthan,Udaipur,26.9816052,75.8447917,Lake Pichola,"Natural Landscapes & Wildlife, Sightseeing & Exploration",4.6,0
165,Punjab,Amritsar,24.572,73.679,Sadda Pind,Cultural & Heritage Sites,4.3,700
166,Punjab,Amritsar,31.644012,74.8131795,Gobind Garh Fort,Cultural & Heritage Sites,4.3,250
167,Punjab,Amritsar,31.6276227,74.8580233,Shri Durgiana Temple,Religious & Spiritual Pilgrimages,4.7,0
168,Punjab,Amritsar,31.6271534,74.8673445,Shree Harminder Sahib Gurudwara,Religious & Spiritual Pilgrimages,4.9,0
169,Punjab,Amritsar,31.6199803,74.8764849,The Partition Museum,"Arts, Science & Literature Attractions",4.6,50
170,Punjab,Amritsar,31.6256935,74.8790091,Golden Temple (Harmandir Sahib),Religious & Spiritual Pilgrimages,4.9,0
171,Punjab,Amritsar,31.6199803,74.8764849,Jallianwala Bagh,Cultural & Heritage Sites,4.8,0
172,Punjab,Amritsar,31.6207396,74.8801655,Wagah Border,"Adventure & Outdoor Activities, Sightseeing & Exploration",4.8,0
173,Punjab,Chandigarh,31.6048388,74.5740775, Japanese Garden,"Cultural & Heritage Sites, Natural Landscapes & Wildlife",4.3,0
174,Punjab,Chandigarh,,,Sector 17 Market,Shopping & Markets,4.4,0
175,Punjab,Chandigarh,30.739471,76.7825333,ISKON temple,Religious & Spiritual Pilgrimages,4.8,0
176,Punjab,Chandigarh,,,Terraced garden,Natural Landscapes & Wildlife,4.5,0
177,Punjab,Chandigarh,,,Government museum & Art gallery,"Arts, Science & Literature Attractions",4.4,60
178,Punjab,Chandigarh,13.0716298,80.2567955,Sukhna Lake,Natural Landscapes & Wildlife,4.6,0
179,Punjab,Chandigarh,30.7421379,76.8187557,Rock Garden,Sightseeing & Exploration,4.5,30
180,Kerala,Alappuzha,30.752535,76.8101038,Shree Krishna Swamy Temple,Religious & Spiritual Pilgrimages,4.6,0
181,Kerala,Alappuzha,,,Marari Beach,Natural Landscapes & Wildlife,4.5,0
182,Kerala,Alappuzha,9.6007506,76.2982585,International Coi Museum,"Arts, Science & Literature Attractions",4.3,0
183,Kerala,Alappuzha,,,Alleppey Backwater,Natural Landscapes & Wildlife,4.6,0
184,Kerala,Alappuzha,9.5238612,76.3567633,Chakkulathukavu Sree Bhagwathi Temple,Religious & Spiritual Pilgrimages,4.3,0
185,Kerala,Alappuzha,9.3669421,76.5141883,Mannarasala Sree Nagaraja Temple,Religious & Spiritual Pilgrimages,4.3,0
186,Kerala,Alappuzha,9.2896809,76.4456832,St.Andrew's Basilica,Religious & Spiritual Pilgrimages,4.7,0
187,Kerala,Alappuzha,9.6611287,76.3002896,Alappuzha Beach,Natural Landscapes & Wildlife,4.5,0
188,Kerala,Munnar,9.4927482,76.3177759,Pothamedu View Point,Sightseeing & Exploration,4.2,0
189,Kerala,Munnar,10.0596918,77.064076,Eravikulam National Park,Natural Landscapes & Wildlife,4.3,125
190,Kerala,Munnar,10.1453912,77.0366346,Mattupetty Dam,Sightseeing & Exploration,4.2,0
191,Kerala,Munnar,10.1063316,77.1238055,Munnar Tea Gardens,"Natural Landscapes & Wildlife, Sightseeing & Exploration",4.3,0
192,Kerala,Kochi,10.0578407,77.0660813,LuLu International Shopping Mall,Shopping & Markets,4.6,0
193,Kerala,Kochi,10.0271483,76.3081856,National Shrine Basilica of our Lady of Ransom,Religious & Spiritual Pilgrimages,4.8,0
194,Kerala ,Kochi,,,Mattancherry Palace,Cultural & Heritage Sites,4.2,2
195,Kerala,Kochi,9.9582773,76.2593508,Marine Drive Kochi,Sightseeing & Exploration,4.3,0
196,Kerala,Kochi,9.9771685,76.2773228,Chottanikara Bhagvathy Temple,Religious & Spiritual Pilgrimages,5,0
197,Kerala,Kochi,9.9331743,76.3905714,Hill Palace Museum,Cultural & Heritage Sites,4.3,0
198,Kerala,Kochi,9.952749,76.3638016,Cherai Beach,Natural Landscapes & Wildlife,4,0
199,Kerala,Kochi,10.1415953,76.1782833,Fort Kochi,Cultural & Heritage Sites,4.4,0
200,Kerala,Thiruvanthapuram,9.9657787,76.2421147,Attukal Bhagwathy Temple,Religious & Spiritual Pilgrimages,4.6,0
201,Kerala,Thiruvanthapuram,8.4698623,76.9554858,Kovalam Beach,Natural Landscapes & Wildlife,4.4,0
202,Kerala,Thiruvanthapuram,8.3837841,76.9804176,Thiruvanthapuram Zoological park,Natural Landscapes & Wildlife,4.2,200
203,Kerala,Thiruvanthapuram,8.5105939,76.9549377,Kanakakkunnu Palace,Cultural & Heritage Sites,4.5,0
204,Kerala,Thiruvanthapuram,8.5107183,76.9581858,Veli Lake Tourist Village,Sightseeing & Exploration,4.2,0
205,Kerala,Thiruvanthapuram,8.5080206,76.8886702,Napier Museum,"Arts, Science & Literature Attractions",4.4,70
206,Kerala,Thiruvananthapuram,8.5089657,76.955072,Padmanabhaswamy Temple,Religious & Spiritual Pilgrimages,4.7,0
207,Kerala,Kozhikode,8.4827779,76.9435906,HiLITE mall,Shopping & Markets,4.2,0
208,Kerala,Kozhikode,11.2486583,75.833473,Mittayi Theravu -SM Street,Shopping & Markets,4.5,0
209,Kerala,Kozhikode,11.2507622,75.7815607,Tali Maha Shiva Kshetram,Religious & Spiritual Pilgrimages,4.7,0
210,Kerala,Kozhikode,11.2479375,75.7875625,Sargaalaya Kerala Arts& Crafts village,"Arts, Science & Literature Attractions",4.3,50
211,Kerala,Kozhikode,11.5601151,75.6058617,Kozhikode Beach,Natural Landscapes & Wildlife,3.9,0
212,Kerala,Wayanad,11.2626228,75.7673095,Lakkidi View point,Sightseeing & Exploration,4.5,0
213,Kerala,Wayanad,11.5121995,76.0189339,Edakkal Caves,Natural Landscapes & Wildlife,4.1,70
214,Kerala,Wayanad,11.6268407,76.234269,"Karapuzha Dam, adventure park, garden",Adventure & Outdoor Activities,4.4,0
215,Kerala,Wayanad,11.6182901,76.1678346,Wayanad Wildlife Sanctuary,Natural Landscapes & Wildlife,4.5,300
216,Kerala,Kannur,11.6716011,76.3686564,Muzhappilangad Beach,Natural Landscapes & Wildlife,4.4,0
217,Kerala,Kannur,11.7932037,75.4441073,Parassini Madappura Sree Muthappan Temple,Religious & Spiritual Pilgrimages,4.4,0
218,Kerala,Kannur,11.9824702,75.402109,St. Angelo Fort,Cultural & Heritage Sites,4.4,20
219,Kerala,Kochi,11.8541418,75.3714455,Kerala Folklore Museum,Cultural & Heritage Sites,4.4,100
220,Kerala,Kochi,9.9330107,76.2989787,Wonderla Amusement Park,Adventure & Outdoor Activities,4.6,750
221,Karnataka,Mysore,12.8349095,77.4009409,Shri Chamundeshwari Temple,Religious & Spiritual Pilgrimages,4.7,0
222,Karnataka,Mysore,12.2725036,76.6707154,Chamundi Betta,Natural Landscapes & Wildlife,4.7,0
223,Karanataka,Mysore,12.2731672,76.6707435,Lokaranjan Aqua World Underwater zoo,Natural Landscapes & Wildlife,4.6,200
224,Karanataka,Mysore,12.304807,76.6638086,Mysuru Railway museum,"Arts, Science & Literature Attractions",4.4,50
225,Karnataka,Mysore,12.3163393,76.643323,"Karanji Lake, boating, bird sanctuary","Natural Landscapes & Wildlife, Adventure & Outdoor Activities",4,0
226,Karnataka,Mysore,12.302778,76.673611,Mysore Palace,Cultural & Heritage Sites,4.6,25
227,Karanataka,Hampi,12.305163,76.6551749,Virupaksha Temple,Religious & Spiritual Pilgrimages,4.7,0
228,Karnataka,Hampi,15.3351333,76.4586529,Stone Chariot,Cultural & Heritage Sites,4.8,0
229,Karanataka,Hampi,,,Mathanga Hill,Natural Landscapes & Wildlife,4.8,0
230,Karnataka,Hampi,15.3316387,76.4682381,Shree Vijaya Vitthala Temple,Religious & Spiritual Pilgrimages,4.8,0
231,Karnataka,Hampi,15.3423099,76.475235,Group of monuments at Hampi,Cultural & Heritage Sites,4.7,30
232,Karnataka,Hampi,15.3349769,76.4619233,Lotus Mahal,Cultural & Heritage Sites,4.6,50
233,Karnataka,Hampi,15.3202851,76.4713243,Ajanadri Hills,Adventure & Outdoor Activities,4.7,0
234,Karnataka,Coorg,15.3548385,76.469264,Raja's Seat garden,Sightseeing & Exploration,4.4,0
235,Karnataka,Coorg,12.4145674,75.7371014,Nagarhole Tiger Reserve,Natural Landscapes & Wildlife,4.4,150
236,Karnataka,Coorg,12.0734366,76.1510815,Mallalli Falls,Natural Landscapes & Wildlife,4.6,0
237,Karnataka,Coorg,12.680643,75.723667,Brahmagiri Wildlife Sanctuary,Natural Landscapes & Wildlife,4.4,25
238,Karnataka,Coorg,12.1726489,75.6440842,Dubare Elephant camp and bathing spot,Natural Landscapes & Wildlife,4.1,20
239,Karnataka,Coorg,12.371192,75.9051197,Coorg river rafting Barapole,Adventure & Outdoor Activities,4.1,0
240,Karnataka,Coorg,12.3374942,75.8069082,Namdroling Monastery,"	Religious & Spiritual Pilgrimages",4.5,0
241,Karnataka,Coorg,12.430628,75.9669536,Iruppu Falls-Brahmagiri,Natural Landscapes & Wildlife,4.1,0
242,Karnataka,Chikmanglur,11.9661026,75.9833292,Bhadra wildlife sanctuary,Natural Landscapes & Wildlife,4.4,60
243,Karnataka,Chikmanglur,13.6948738,75.635227,Shri Jagadguru Shankaracharya Peeta,Religious & Spiritual Pilgrimages,4.8,0
244,Karnataka,Chikmanglur,13.4167132,75.2521434, Shri Annapurneshwari Devi Temple,Religious & Spiritual Pilgrimages,4.8,0
245,Karanataka,Chikmanglur,9.8121201,77.1747471,Sri Sharadamba Temple ,Religious & Spiritual Pilgrimages,4.8,0
